TIME,GEO,UNIT,PRODUCT,INDIC_NRG,Value
2005,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,398355
2005,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,138009
2005,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,161956
2006,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,85617
2006,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,84361
2006,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,45611
2006,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,636761
2006,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,9732
2006,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,27480
2006,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,60789
2006,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,299454
2006,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,574595
2006,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12430
2006,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,314121
2006,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4652
2006,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4891
2006,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12482
2006,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4334
2006,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,35859
2006,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,2261
2006,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,64499
2006,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,161742
2006,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,49041
2006,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,62697
2006,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,15115
2006,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,31418
2006,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,82301
2006,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,143419
2006,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,397282
2006,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,121582
2006,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,176299
2007,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,88820
2007,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,88198
2007,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,39316
2007,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,637100
2007,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12190
2007,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,28198
2007,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,63496
2007,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,305052
2007,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,569790
2007,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12245
2007,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,313888
2007,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4871
2007,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4771
2007,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,14007
2007,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4002
2007,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,39960
2007,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,2296
2007,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,64757
2007,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,159348
2007,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,47253
2007,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,61673
2007,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,15043
2007,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,28056
2007,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,81247
2007,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,148926
2007,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,396830
2007,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,137192
2007,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,191558
2008,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,84930
2008,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,83518
2008,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,36616
2008,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,637232
2008,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,10581
2008,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,30239
2008,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,63749
2008,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,313758
2008,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,573967
2008,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12326
2008,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,319130
